feature,importance,method
severity_level,0.20737732554143098,permutation_importance
symptom_score,0.1565397755783815,permutation_importance
risk_factor_count,0.08495743113995678,permutation_importance
duration_weeks,0.05317028337233891,permutation_importance
physical_activity,0.029989593342201804,permutation_importance
age,0.017571038178726472,permutation_importance
numbness,0.011211788735298845,permutation_importance
gender,0.009915614820260654,permutation_importance
foot_pain,0.00987995595138893,permutation_importance
vitamin_deficiency_history,0.0069251331398752615,permutation_importance
alcohol_risk_factor,0.00554836638174514,permutation_importance
diabetes_history,0.004979306392943095,permutation_importance
warmth_sensation,0.0043393808368363375,permutation_importance
swelling,0.0013603599710584335,permutation_importance
peripheral_neuropathy_history,0.0010268653917732684,permutation_importance
tingling,0.0004911267777745643,permutation_importance
thyroid_condition,0.00013944242398888917,permutation_importance
burning_sensation,-0.0005908476995673984,permutation_importance
redness,-0.0017115534399202658,permutation_importance
duration_category,-0.0017168663611397904,permutation_importance
night_time_symptoms,-0.002379386597826838,permutation_importance
